models,node_num,iteration_time
gpt3_1_3B,16,22731.80676
gpt3_1_3B,17,22949.4927
gpt3_1_3B,18,34776.94197
gpt3_1_3B,19,23105.78289
gpt3_1_3B,20,22984.19331
gpt3_1_3B,21,22954.01988
gpt3_1_3B,22,17360.49103
gpt3_1_3B,23,17261.14742
gpt3_1_3B,24,28508.13067
gpt3_1_3B,25,23046.97699
gpt3_1_3B,26,26107.64359
gpt3_1_3B,27,29205.6892
gpt3_1_3B,28,17389.68753
gpt3_1_3B,29,23069.95988
gpt3_1_3B,30,23026.26854
gpt3_1_3B,31,22974.48672
gpt3_1_3B,32,11646.14161
gpt3_2_7B,16,49164.92261
gpt3_2_7B,19,45298.61821
gpt3_2_7B,20,44060.17388
gpt3_2_7B,21,47266.79343
gpt3_2_7B,22,38481.72668
gpt3_2_7B,23,49315.94366
gpt3_2_7B,24,38566.24665
gpt3_2_7B,25,36570.24548
gpt3_2_7B,26,40323.97983
gpt3_2_7B,27,36544.2449
gpt3_2_7B,28,33311.37631
gpt3_2_7B,29,44018.42992
gpt3_2_7B,30,32990.10427
gpt3_2_7B,31,36734.34988
gpt3_2_7B,32,27309.57661
gpt3_6_7B,16,90199.67846
gpt3_6_7B,17,86040.14986
gpt3_6_7B,18,81827.43555
gpt3_6_7B,19,78980.34422
gpt3_6_7B,20,74060.1951
gpt3_6_7B,21,71598.18931
gpt3_6_7B,22,67828.17011
gpt3_6_7B,23,65460.37349
gpt3_6_7B,24,57509.1665
gpt3_6_7B,25,62343.11336
gpt3_6_7B,26,56011.43523
gpt3_6_7B,27,60382.09074
gpt3_6_7B,28,64589.88221
gpt3_6_7B,29,55181.17211
gpt3_6_7B,30,107280.3154
gpt3_6_7B,31,52638.62843
gpt3_6_7B,32,49494.6137
gpt3_13B,16,180399.3569
gpt3_13B,17,172080.2997
gpt3_13B,18,163654.8711
gpt3_13B,19,157960.6884
gpt3_13B,20,148120.3902
gpt3_13B,21,143196.3786
gpt3_13B,22,135656.3402
gpt3_13B,23,130920.747
gpt3_13B,24,115018.333
gpt3_13B,25,124686.2267
gpt3_13B,26,112022.8705
gpt3_13B,27,120764.1815
gpt3_13B,28,129179.7644
gpt3_13B,29,110362.3442
gpt3_13B,30,214560.6308
gpt3_13B,31,105277.2569
gpt3_13B,32,98989.22739
