models,node_num,mbs,iteration_time
gpt3_1_3B,16,26,34779.66433763504
gpt3_1_3B,17,26,35112.72382736206
gpt3_1_3B,18,26,53208.72122049332
gpt3_1_3B,19,26,35351.84782743454
gpt3_1_3B,20,26,35165.81577062607
gpt3_1_3B,21,26,35119.650423526764
gpt3_1_3B,22,26,26561.55127286911
gpt3_1_3B,23,26,26409.555554389954
gpt3_1_3B,24,26,43617.439925670624
gpt3_1_3B,25,26,35261.87479496002
gpt3_1_3B,26,26,39944.6947
gpt3_1_3B,27,26,44684.70448255539
gpt3_1_3B,28,26,26606.221914291382
gpt3_1_3B,29,26,35297.03861474991
gpt3_1_3B,30,26,35230.19087314606
gpt3_1_3B,31,26,35150.96467733383
gpt3_1_3B,32,26,17818.59666109085
gpt3_2_7B,16,34,65389.347076416016
gpt3_2_7B,19,34,60247.162222862244
gpt3_2_7B,20,34,58600.03125667572
gpt3_2_7B,21,34,62864.835262298584
gpt3_2_7B,22,34,51180.69648742676
gpt3_2_7B,23,34,65590.20507335663
gpt3_2_7B,24,34,51293.10804605484
gpt3_2_7B,25,34,48638.42648267746
gpt3_2_7B,26,34,53630.89317083359
gpt3_2_7B,27,34,48603.845715522766
gpt3_2_7B,28,34,44304.130494594574
gpt3_2_7B,29,34,58544.511795043945
gpt3_2_7B,30,34,43876.83868408203
gpt3_2_7B,31,34,48856.68534040451
gpt3_2_7B,32,34,36321.736892064415
gpt3_6_7B,16,34,119965.57235717773
gpt3_6_7B,17,34,114433.39931964874
gpt3_6_7B,18,34,108830.48927783966
gpt3_6_7B,19,34,105043.85781288147
gpt3_6_7B,20,34,98500.05948543549
gpt3_6_7B,21,34,95225.59177875519
gpt3_6_7B,22,34,90211.46625
gpt3_6_7B,23,34,87062.29674816132
gpt3_6_7B,24,34,76487.19143867493
gpt3_6_7B,25,34,82916.34076833725
gpt3_6_7B,26,34,74495.20885944366
gpt3_6_7B,27,34,80308.18069
gpt3_6_7B,28,34,85904.54334020615
gpt3_6_7B,29,34,73390.95890522003
gpt3_6_7B,30,34,142682.81948566437
gpt3_6_7B,31,34,70009.37581062317
gpt3_6_7B,32,34,65827.83621549606
gpt3_13B,16,22,239931.1447
gpt3_13B,17,22,228866.7986
gpt3_13B,18,22,217660.9786
gpt3_13B,19,22,210087.7156
gpt3_13B,20,22,197000.119
gpt3_13B,21,22,190451.1836
gpt3_13B,22,22,180422.9325
gpt3_13B,23,22,174124.5935
gpt3_13B,24,22,152974.3829
gpt3_13B,25,22,165832.6815
gpt3_13B,26,22,148990.4177
gpt3_13B,27,22,160616.3614
gpt3_13B,28,22,171809.0867
gpt3_13B,29,22,146781.9178
gpt3_13B,30,22,285365.639
gpt3_13B,31,22,140018.7516
gpt3_13B,32,22,131655.6724
