Namespace(duration=43200, fig_directory='res/simulator', generate_addition_probabilities=False, generate_graphs=True, generate_table=False, model='GPT-3', model_size='350M', performace_log_interval=1, removal_probability=None, seed=None, spot_instance_desired_capacity=20, spot_instance_trace='traces/g4dn-trace-8-20.csv', start_hour=None)
[0.000] node1 simulate_spot_instance_add: 0
[0.000] node3 simulate_spot_instance_add: 0
[0.000] node7 simulate_spot_instance_add: 0
[0.000] node15 simulate_spot_instance_add: 0
[0.000] node14 simulate_spot_instance_add: 0
[0.000] node6 simulate_spot_instance_add: 0
[0.000] node13 simulate_spot_instance_add: 0
[0.000] node12 simulate_spot_instance_add: 0
[0.000] node2 simulate_spot_instance_add: 0
[0.000] node5 simulate_spot_instance_add: 0
[0.000] node11 simulate_spot_instance_add: 0
[0.000] node10 simulate_spot_instance_add: 0
[0.000] node20 simulate_spot_instance_add: 0
[0.000] node4 simulate_spot_instance_add: 0
[0.000] node9 simulate_spot_instance_add: 0
[0.000] node19 simulate_spot_instance_add: 0
[0.000] node18 simulate_spot_instance_add: 0
[0.000] node8 simulate_spot_instance_add: 0
[0.000] node17 simulate_spot_instance_add: 0
[0.000] node16 simulate_spot_instance_add: 0
[45.000] node7 simulate_spot_instance_ready: 45000
[45.000] node7 starting global rendezvous
[45.000] simulate_rendezvous_start: 45000 True
[45.000] simulate_rendezvous_restart: 45000
[45.000] simulate_preparation: 45000 ['node7']
[45.000] node14 simulate_spot_instance_ready: 45000
[45.000] node6 simulate_spot_instance_ready: 45000
[45.000] node17 simulate_spot_instance_ready: 45000
[45.000] node16 simulate_spot_instance_ready: 45000
[45.000] node15 simulate_spot_instance_ready: 45000
[45.000] node13 simulate_spot_instance_ready: 45000
[45.000] node5 simulate_spot_instance_ready: 45000
[45.000] node8 simulate_spot_instance_ready: 45000
[45.000] node12 simulate_spot_instance_ready: 45000
[45.000] node2 simulate_spot_instance_ready: 45000
[45.000] node11 simulate_spot_instance_ready: 45000
[45.000] node20 simulate_spot_instance_ready: 45000
[45.000] node18 simulate_spot_instance_ready: 45000
[45.000] node10 simulate_spot_instance_ready: 45000
[45.000] node4 simulate_spot_instance_ready: 45000
[45.000] node19 simulate_spot_instance_ready: 45000
[45.000] node1 simulate_spot_instance_ready: 45000
[45.000] node3 simulate_spot_instance_ready: 45000
[45.000] node9 simulate_spot_instance_ready: 45000
[46.000] simulate_preparation: 46000
[46.000] simulate_preparation: 46000 ['node7', 'node14', 'node6', 'node17', 'node16', 'node15', 'node13', 'node5', 'node8', 'node12', 'node2', 'node11', 'node20', 'node18', 'node10', 'node4', 'node19', 'node1', 'node3', 'node9']
[46.000] simulate_assign_coordinates ['node7', 'node14', 'node6', 'node17', 'node16', 'node15', 'node13', 'node5', 'node8', 'node12', 'node2', 'node11', 'node20', 'node18', 'node10', 'node4', 'node19', 'node1', 'node3', 'node9']
46000 20 nodes completed rendezvous version 1, 20x1 configuration
46000 starting training with 20 20 nodes
[53.820] simulate training iteration execution finish 1
[53.820] 1 iterations complete
[61.640] simulate training iteration execution finish 2
[69.460] simulate training iteration execution finish 3
[77.280] simulate training iteration execution finish 4
[85.100] simulate training iteration execution finish 5
[92.920] simulate training iteration execution finish 6
[100.740] simulate training iteration execution finish 7
[108.560] simulate training iteration execution finish 8
[116.380] simulate training iteration execution finish 9
[124.200] simulate training iteration execution finish 10
[132.020] simulate training iteration execution finish 11
[139.840] simulate training iteration execution finish 12
[147.660] simulate training iteration execution finish 13
[155.480] simulate training iteration execution finish 14
[163.300] simulate training iteration execution finish 15
[171.120] simulate training iteration execution finish 16
[178.940] simulate training iteration execution finish 17
[186.760] simulate training iteration execution finish 18
[194.580] simulate training iteration execution finish 19
[202.400] simulate training iteration execution finish 20
[210.220] simulate training iteration execution finish 21
[218.040] simulate training iteration execution finish 22
[225.860] simulate training iteration execution finish 23
[233.680] simulate training iteration execution finish 24
[241.500] simulate training iteration execution finish 25
[249.320] simulate training iteration execution finish 26
[257.140] simulate training iteration execution finish 27
[264.960] simulate training iteration execution finish 28
[272.780] simulate training iteration execution finish 29
[280.600] simulate training iteration execution finish 30
[288.420] simulate training iteration execution finish 31
[296.240] simulate training iteration execution finish 32
[304.060] simulate training iteration execution finish 33
[311.880] simulate training iteration execution finish 34
[319.700] simulate training iteration execution finish 35
[327.520] simulate training iteration execution finish 36
[335.340] simulate training iteration execution finish 37
[343.160] simulate training iteration execution finish 38
[350.980] simulate training iteration execution finish 39
[358.800] simulate training iteration execution finish 40
[366.620] simulate training iteration execution finish 41
[374.440] simulate training iteration execution finish 42
[382.260] simulate training iteration execution finish 43
[390.080] simulate training iteration execution finish 44
[397.900] simulate training iteration execution finish 45
[405.720] simulate training iteration execution finish 46
[413.540] simulate training iteration execution finish 47
[421.360] simulate training iteration execution finish 48
[429.180] simulate training iteration execution finish 49
[437.000] simulate training iteration execution finish 50
[444.820] simulate training iteration execution finish 51
[452.640] simulate training iteration execution finish 52
[460.460] simulate training iteration execution finish 53
[468.280] simulate training iteration execution finish 54
[476.100] simulate training iteration execution finish 55
[483.920] simulate training iteration execution finish 56
[491.740] simulate training iteration execution finish 57
[499.560] simulate training iteration execution finish 58
[507.380] simulate training iteration execution finish 59
[515.200] simulate training iteration execution finish 60
[523.020] simulate training iteration execution finish 61
[530.840] simulate training iteration execution finish 62
[538.660] simulate training iteration execution finish 63
[546.480] simulate training iteration execution finish 64
[554.300] simulate training iteration execution finish 65
[562.120] simulate training iteration execution finish 66
[569.940] simulate training iteration execution finish 67
[577.760] simulate training iteration execution finish 68
[585.580] simulate training iteration execution finish 69
[593.400] simulate training iteration execution finish 70
[601.220] simulate training iteration execution finish 71
[609.040] simulate training iteration execution finish 72
[616.860] simulate training iteration execution finish 73
[624.680] simulate training iteration execution finish 74
[632.500] simulate training iteration execution finish 75
[640.320] simulate training iteration execution finish 76
[648.140] simulate training iteration execution finish 77
